,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0,File,Iu,Iv,Iw,A,B,Z,H,SV1,SV2,SV3,Count,Vu,Vv,Vw,Duration [s],Sampling Frequency [Hz]
1,tdms100_room-to-cryo.tdms,1,1,1,1,1,1,1,0,0,0,1,1,1,1,913.0,1000
2,tdms101_room-to-cryo.tdms,1,1,1,1,1,1,1,0,0,0,1,1,1,1,3098.0,1000
3,tdms102_room-to-cryo.tdms,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1379.0,1000
4,tdms103_room-to-cryo.tdms,1,1,1,1,1,1,1,0,0,0,1,1,1,1,9348.0,1000
5,tdms104_room-to-cryo.tdms,1,1,1,1,1,1,1,0,0,0,1,1,1,1,15217.0,1000
6,tdms34_room-to-cryo.tdms,1,1,1,1,1,1,1,1,1,1,0,1,1,1,425.0,1000
7,tdms35_room-to-cryo.tdms,1,1,1,1,1,1,1,1,1,1,0,1,1,1,9959.0,1000
8,tdms46_room-to-cryo.tdms,1,1,1,1,1,1,1,1,1,1,0,1,1,1,277.0,1000
9,tdms47_room-to-cryo.tdms,1,1,1,1,1,1,1,1,1,1,0,1,1,1,429.0,1000
10,tdms51_room-to-cryo.tdms,1,1,1,1,1,1,1,1,1,1,0,1,1,1,313.0,1000
11,tdms54_room-to-cryo.tdms,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1891.0,1000
12,tdms56_room-to-cryo.tdms,1,1,1,1,1,1,1,1,1,1,0,1,1,1,8452.0,1000
13,tdms58_room-to-cryo.tdms,1,1,1,1,1,1,1,1,1,1,0,1,1,1,3648.0,1000
14,tdms61_room-to-cryo.tdms,1,1,1,1,1,1,1,1,1,1,0,1,1,1,2105.0,1000
15,tdms62_room-to-cryo.tdms,1,1,1,1,1,1,1,1,1,1,0,1,1,1,411.0,1000
16,tdms63_room-to-cryo.tdms,1,1,1,1,1,1,1,1,1,1,0,1,1,1,336.0,1000
17,tdms64_room-to-cryo.tdms,1,1,1,1,1,1,1,1,1,1,0,1,1,1,21744.009,1000
18,tdms66_room-to-cryo.tdms,1,1,1,1,1,1,1,0,0,0,0,1,1,1,9186.0,1000
19,tdms67_room-to-cryo.tdms,1,1,1,1,1,1,1,0,0,0,1,1,1,1,868.0,1000
20,tdms69_room-to-cryo.tdms,1,1,1,1,1,1,1,0,0,0,1,1,1,1,2396.0,1000
21,tdms72_room-to-cryo.tdms,1,1,1,1,1,1,1,0,0,0,1,1,1,1,16.0,1000
22,tdms73_room-to-cryo.tdms,1,1,1,1,1,1,1,0,0,0,1,1,1,1,2532.0,1000
23,tdms75_room-to-cryo.tdms,1,1,1,1,1,1,1,0,0,0,1,1,1,1,11302.0,1000
24,tdms78_room-to-cryo.tdms,1,1,1,1,1,1,1,0,0,0,1,1,1,1,2206.0,1000
25,tdms80_room-to-cryo.tdms,1,1,1,1,1,1,1,0,0,0,1,1,1,1,11879.0,1000
26,tdms83_room-to-cryo.tdms,1,1,1,1,1,1,1,0,0,0,1,1,1,1,8678.0,1000
27,tdms86_room-to-cryo.tdms,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1555.0,1000
28,tdms87_room-to-cryo.tdms,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1566.0,1000
29,tdms88_room-to-cryo.tdms,1,1,1,1,1,1,1,0,0,0,1,1,1,1,11054.0,1000
30,tdms89_room-to-cryo.tdms,1,1,1,1,1,1,1,0,0,0,1,1,1,1,10115.0,1000
31,tdms90_room-to-cryo.tdms,1,1,1,1,1,1,1,0,0,0,1,1,1,1,10667.0,1000
32,tdms94_room-to-cryo.tdms,1,1,1,1,1,1,1,0,0,0,1,1,1,1,724.0,1000
33,tdms95_room-to-cryo.tdms,1,1,1,1,1,1,1,0,0,0,1,1,1,1,7393.0,1000
34,tdms96_room-to-cryo.tdms,1,1,1,1,1,1,1,0,0,0,1,1,1,1,13833.0,1000
35,tdms97_room-to-cryo.tdms,1,1,1,1,1,1,1,0,0,0,1,1,1,1,10962.0,1000
