,0,File,Iu,Iv,Iw,A,B,Z,H,SV1,SV2,SV3,Count,Vu,Vv,Vw,Duration [s],Sampling Frequency [Hz],A Score,B Score,Target freq [Hz],Z Mean Frequency [Hz],Z Std. Dev. [Hz],A Mean Frequency [Hz],A Std. Dev. [Hz],B Mean Frequency [Hz],B Std. Dev. [Hz],Z Low TH,Z High TH,A Low TH,A High TH,B Low TH,B High TH,Is in Spreadsheet?
0,1,tdms100_room-to-cryo.tdms,1,1,1,1,1,1,1,0,0,0,1,1,1,1,913.0,1000,,,,,,,,,,,,,,,,Y
1,2,tdms101_room-to-cryo.tdms,1,1,1,1,1,1,1,0,0,0,1,1,1,1,3098.0,1000,,,,,,,,,,,,,,,,N
2,3,tdms102_room-to-cryo.tdms,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1379.0,1000,,,,,,,,,,,,,,,,N
3,4,tdms103_room-to-cryo.tdms,1,1,1,1,1,1,1,0,0,0,1,1,1,1,9348.0,1000,0.5397618895013835,0.5190132184332606,1.0,1.00540355361373,0.0083758517106616,1.0062156758755922,0.028647538610458,1.0064178986335055,0.0321452027448053,-0.5,0.5,1.08,1.09,1.08,1.09,Y
4,5,tdms104_room-to-cryo.tdms,1,1,1,1,1,1,1,0,0,0,1,1,1,1,15217.0,1000,0.44152119694479836,0.41939437940202184,0.8,0.7701780267952661,0.0031295423530845,0.7706290546829869,0.0221769355694784,0.7704434526962001,0.0292628030746283,-0.5,0.5,1.07,1.082,1.07,1.082,Y
5,6,tdms34_room-to-cryo.tdms,1,1,1,1,1,1,1,1,1,1,0,1,1,1,425.0,1000,,,,,,,,,,,,,,,,N
6,7,tdms35_room-to-cryo.tdms,1,1,1,1,1,1,1,1,1,1,0,1,1,1,9959.0,1000,,0.5884823960979231,1.0,1.0053827957835733,0.009093305817291602,,,1.005987538149645,0.024762577156210157,-8.0,-0.5,,,1.086,1.092,Y
7,8,tdms46_room-to-cryo.tdms,1,1,1,1,1,1,1,1,1,1,0,1,1,1,277.0,1000,,,,,,,,,,,,,,,,N
8,9,tdms47_room-to-cryo.tdms,1,1,1,1,1,1,1,1,1,1,0,1,1,1,429.0,1000,,,,,,,,,,,,,,,,N
9,10,tdms51_room-to-cryo.tdms,1,1,1,1,1,1,1,1,1,1,0,1,1,1,313.0,1000,,,,,,,,,,,,,,,,N
10,11,tdms54_room-to-cryo.tdms,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1891.0,1000,,,,,,,,,,,,,,,,N
11,12,tdms56_room-to-cryo.tdms,1,1,1,1,1,1,1,1,1,1,0,1,1,1,8452.0,1000,,0.6634566507819504,1.0,1.0052123365841503,0.010902025456315493,,,1.0058177363243888,0.022591823264436827,-8.0,-0.5,,,1.086,1.092,Y
12,13,tdms58_room-to-cryo.tdms,1,1,1,1,1,1,1,1,1,1,0,1,1,1,3648.0,1000,,0.5741671421972078,1.0,1.0055745580561608,0.010274940053634534,,,1.006356336479047,0.02975735033513355,-8.0,-0.5,,,1.08,1.09,Y
13,14,tdms61_room-to-cryo.tdms,1,1,1,1,1,1,1,1,1,1,0,1,1,1,2105.0,1000,0.6354636654861459,0.694948309039307,1.0,1.0055563714096305,0.0117666352579813,1.006178821305607,0.0267722905410649,1.0059487580735995,0.0221635731373684,-8.0,-0.5,1.078,1.082,1.078,1.082,Y
14,15,tdms62_room-to-cryo.tdms,1,1,1,1,1,1,1,1,1,1,0,1,1,1,411.0,1000,,,,,,,,,,,,,,,,Y
15,16,tdms63_room-to-cryo.tdms,1,1,1,1,1,1,1,1,1,1,0,1,1,1,336.0,1000,,,,,,,,,,,,,,,,N
16,17,tdms64_room-to-cryo.tdms,1,1,1,1,1,1,1,1,1,1,0,1,1,1,21744.009,1000,,0.42631705537621106,1.0,1.0055603534534205,0.011735922456314258,,,0.9924057498495974,0.09422787689845911,-8.0,-0.5,,,1.078,1.082,Y
17,18,tdms66_room-to-cryo.tdms,1,1,1,1,1,1,1,0,0,0,0,1,1,1,9186.0,1000,,,,,,,,,,,,,,,,Y
18,19,tdms67_room-to-cryo.tdms,1,1,1,1,1,1,1,0,0,0,1,1,1,1,868.0,1000,,,,,,,,,,,,,,,,Y
